,Caseload ID,Caseload Level,Run Number,Week Number
578,pwp_8,33,0,19
579,pwp_9,36,0,19
580,pwp_10,39,0,19
581,pwp_11,40,0,19
582,cbt_0,24,0,19
583,cbt_1,23,0,19
584,cbt_2,23,0,19
585,cbt_3,24,0,19
586,cbt_4,24,0,19
587,cbt_5,22,0,19
588,cbt_6,24,0,19
589,cbt_7,23,0,19
590,cbt_8,24,0,19
591,cbt_9,22,0,19
592,cbt_10,25,0,19
593,cbt_11,23,0,19
594,cbt_12,24,0,19
595,cbt_13,24,0,19
596,couns_0,19,0,19
597,couns_1,13,0,19
598,couns_2,20,0,19
599,couns_3,19,0,19
600,pwp_0,40,0,20
601,pwp_1,47,0,20
602,pwp_2,30,0,20
603,pwp_3,45,0,20
604,pwp_4,28,0,20
605,pwp_5,39,0,20
606,pwp_6,44,0,20
607,pwp_7,37,0,20
608,pwp_8,34,0,20
609,pwp_9,34,0,20
610,pwp_10,39,0,20
611,pwp_11,40,0,20
612,cbt_0,24,0,20
613,cbt_1,23,0,20
614,cbt_2,23,0,20
615,cbt_3,24,0,20
616,cbt_4,24,0,20
617,cbt_5,22,0,20
618,cbt_6,25,0,20
619,cbt_7,22,0,20
620,cbt_8,24,0,20
621,cbt_9,22,0,20
622,cbt_10,25,0,20
623,cbt_11,23,0,20
624,cbt_12,24,0,20
625,cbt_13,23,0,20
626,couns_0,19,0,20
627,couns_1,13,0,20
628,couns_2,21,0,20
629,couns_3,19,0,20
630,pwp_0,44,0,21
631,pwp_1,45,0,21
632,pwp_2,30,0,21
633,pwp_3,45,0,21
634,pwp_4,26,0,21
635,pwp_5,35,0,21
636,pwp_6,47,0,21
637,pwp_7,36,0,21
638,pwp_8,33,0,21
639,pwp_9,35,0,21
640,pwp_10,38,0,21
641,pwp_11,39,0,21
642,cbt_0,24,0,21
643,cbt_1,23,0,21
644,cbt_2,23,0,21
645,cbt_3,24,0,21
646,cbt_4,24,0,21
647,cbt_5,22,0,21
648,cbt_6,25,0,21
649,cbt_7,22,0,21
650,cbt_8,24,0,21
651,cbt_9,22,0,21
652,cbt_10,25,0,21
653,cbt_11,24,0,21
654,cbt_12,24,0,21
655,cbt_13,23,0,21
656,couns_0,19,0,21
657,couns_1,13,0,21
658,couns_2,21,0,21
659,couns_3,19,0,21
660,pwp_0,44,0,22
661,pwp_1,42,0,22
662,pwp_2,29,0,22
663,pwp_3,46,0,22
664,pwp_4,26,0,22
665,pwp_5,36,0,22
666,pwp_6,46,0,22
667,pwp_7,33,0,22
668,pwp_8,31,0,22
669,pwp_9,34,0,22
670,pwp_10,38,0,22
671,pwp_11,39,0,22
672,cbt_0,24,0,22
673,cbt_1,23,0,22
674,cbt_2,23,0,22
675,cbt_3,24,0,22
676,cbt_4,24,0,22
677,cbt_5,22,0,22
678,cbt_6,25,0,22
679,cbt_7,22,0,22
680,cbt_8,24,0,22
681,cbt_9,22,0,22
682,cbt_10,25,0,22
683,cbt_11,23,0,22
684,cbt_12,24,0,22
685,cbt_13,23,0,22
686,couns_0,19,0,22
687,couns_1,13,0,22
688,couns_2,21,0,22
689,couns_3,19,0,22
690,pwp_0,42,0,23
691,pwp_1,42,0,23
692,pwp_2,28,0,23
693,pwp_3,45,0,23
694,pwp_4,25,0,23
695,pwp_5,42,0,23
696,pwp_6,45,0,23
697,pwp_7,34,0,23
698,pwp_8,30,0,23
699,pwp_9,35,0,23
700,pwp_10,37,0,23
701,pwp_11,39,0,23
702,cbt_0,24,0,23
703,cbt_1,23,0,23
704,cbt_2,23,0,23
705,cbt_3,24,0,23
706,cbt_4,24,0,23
707,cbt_5,22,0,23
708,cbt_6,25,0,23
709,cbt_7,21,0,23
710,cbt_8,23,0,23
711,cbt_9,23,0,23
712,cbt_10,25,0,23
713,cbt_11,23,0,23
714,cbt_12,24,0,23
715,cbt_13,23,0,23
716,couns_0,19,0,23
717,couns_1,14,0,23
718,couns_2,19,0,23
719,couns_3,18,0,23
720,pwp_0,41,0,24
721,pwp_1,42,0,24
722,pwp_2,25,0,24
723,pwp_3,45,0,24
724,pwp_4,23,0,24
725,pwp_5,47,0,24
726,pwp_6,45,0,24
727,pwp_7,34,0,24
728,pwp_8,29,0,24
729,pwp_9,35,0,24
730,pwp_10,36,0,24
731,pwp_11,36,0,24
732,cbt_0,24,0,24
733,cbt_1,23,0,24
734,cbt_2,23,0,24
735,cbt_3,24,0,24
736,cbt_4,24,0,24
737,cbt_5,22,0,24
738,cbt_6,25,0,24
739,cbt_7,21,0,24
740,cbt_8,23,0,24
741,cbt_9,23,0,24
742,cbt_10,25,0,24
743,cbt_11,23,0,24
744,cbt_12,24,0,24
745,cbt_13,23,0,24
746,couns_0,18,0,24
747,couns_1,14,0,24
748,couns_2,19,0,24
749,couns_3,18,0,24
750,pwp_0,40,0,25
751,pwp_1,39,0,25
752,pwp_2,23,0,25
753,pwp_3,44,0,25
754,pwp_4,27,0,25
755,pwp_5,48,0,25
756,pwp_6,45,0,25
757,pwp_7,35,0,25
758,pwp_8,27,0,25
759,pwp_9,38,0,25
760,pwp_10,35,0,25
761,pwp_11,35,0,25
762,cbt_0,23,0,25
763,cbt_1,23,0,25
764,cbt_2,23,0,25
765,cbt_3,24,0,25
766,cbt_4,24,0,25
767,cbt_5,22,0,25
768,cbt_6,25,0,25
769,cbt_7,22,0,25
770,cbt_8,23,0,25
771,cbt_9,23,0,25
772,cbt_10,25,0,25
773,cbt_11,23,0,25
774,cbt_12,24,0,25
775,cbt_13,23,0,25
776,couns_0,17,0,25
777,couns_1,14,0,25
778,couns_2,19,0,25
779,couns_3,18,0,25
780,pwp_0,39,0,26
781,pwp_1,39,0,26
782,pwp_2,23,0,26
783,pwp_3,45,0,26
784,pwp_4,25,0,26
785,pwp_5,47,0,26
786,pwp_6,45,0,26
787,pwp_7,35,0,26
788,pwp_8,25,0,26
789,pwp_9,40,0,26
790,pwp_10,33,0,26
791,pwp_11,34,0,26
792,cbt_0,23,0,26
793,cbt_1,23,0,26
794,cbt_2,23,0,26
795,cbt_3,24,0,26
796,cbt_4,24,0,26
797,cbt_5,21,0,26
798,cbt_6,25,0,26
799,cbt_7,22,0,26
800,cbt_8,23,0,26
801,cbt_9,23,0,26
802,cbt_10,24,0,26
803,cbt_11,23,0,26
804,cbt_12,24,0,26
805,cbt_13,22,0,26
806,couns_0,17,0,26
807,couns_1,14,0,26
808,couns_2,18,0,26
809,couns_3,17,0,26
810,pwp_0,39,0,27
811,pwp_1,38,0,27
812,pwp_2,22,0,27
813,pwp_3,48,0,27
814,pwp_4,25,0,27
815,pwp_5,47,0,27
816,pwp_6,50,0,27
817,pwp_7,36,0,27
818,pwp_8,22,0,27
819,pwp_9,40,0,27
820,pwp_10,32,0,27
821,pwp_11,33,0,27
822,cbt_0,23,0,27
823,cbt_1,23,0,27
824,cbt_2,24,0,27
825,cbt_3,24,0,27
826,cbt_4,24,0,27
827,cbt_5,21,0,27
828,cbt_6,25,0,27
829,cbt_7,22,0,27
830,cbt_8,23,0,27
831,cbt_9,23,0,27
832,cbt_10,24,0,27
833,cbt_11,23,0,27
834,cbt_12,24,0,27
835,cbt_13,22,0,27
836,couns_0,17,0,27
837,couns_1,14,0,27
838,couns_2,18,0,27
839,couns_3,16,0,27
840,pwp_0,38,0,28
841,pwp_1,38,0,28
842,pwp_2,21,0,28
843,pwp_3,48,0,28
844,pwp_4,25,0,28
845,pwp_5,47,0,28
846,pwp_6,50,0,28
847,pwp_7,33,0,28
848,pwp_8,22,0,28
849,pwp_9,40,0,28
850,pwp_10,31,0,28
851,pwp_11,32,0,28
852,cbt_0,23,0,28
853,cbt_1,23,0,28
854,cbt_2,24,0,28
855,cbt_3,24,0,28
856,cbt_4,24,0,28
857,cbt_5,21,0,28
858,cbt_6,25,0,28
859,cbt_7,22,0,28
860,cbt_8,22,0,28
861,cbt_9,24,0,28
862,cbt_10,24,0,28
863,cbt_11,23,0,28
864,cbt_12,24,0,28
865,cbt_13,22,0,28
866,couns_0,16,0,28
867,couns_1,14,0,28
868,couns_2,18,0,28
869,couns_3,16,0,28
870,pwp_0,36,0,29
871,pwp_1,36,0,29
872,pwp_2,20,0,29
873,pwp_3,48,0,29
874,pwp_4,26,0,29
875,pwp_5,47,0,29
876,pwp_6,50,0,29
877,pwp_7,34,0,29
878,pwp_8,22,0,29
879,pwp_9,38,0,29
880,pwp_10,30,0,29
881,pwp_11,32,0,29
882,cbt_0,23,0,29
883,cbt_1,23,0,29
884,cbt_2,24,0,29
885,cbt_3,24,0,29
886,cbt_4,24,0,29
887,cbt_5,21,0,29
888,cbt_6,25,0,29
889,cbt_7,22,0,29
890,cbt_8,22,0,29
891,cbt_9,24,0,29
892,cbt_10,24,0,29
893,cbt_11,23,0,29
894,cbt_12,24,0,29
895,cbt_13,22,0,29
896,couns_0,16,0,29
897,couns_1,16,0,29
898,couns_2,18,0,29
