,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
17,17,36356.893925351855,523.0,0.36087764745169687,640.0,1.430627393456043,83.0,2
18,18,38092.37869351532,554.0,0.3617775324560743,673.0,1.427318871735161,87.0,2
19,19,39991.195646713655,581.0,0.36309848247655363,706.0,1.4233972388439353,92.0,2
20,20,41958.79568607369,609.0,0.36461972301472667,749.0,1.4379880792290352,96.0,2
21,21,44100.86686122645,641.0,0.3667780890883407,790.0,1.4407456733664914,101.0,2
22,22,45619.15170195703,670.0,0.366242513926684,813.0,1.447151751544255,105.0,2
23,23,47549.95144941927,703.0,0.36614975202573286,847.0,1.4602272057988703,110.0,2
24,24,49451.14808051184,733.0,0.36663446847741527,884.0,1.4515062537547632,115.0,2
25,25,51301.415306007475,762.0,0.36828519155619927,917.0,1.4713139939163127,120.0,2
26,26,53226.76652992361,801.0,0.3672555639427851,945.0,1.4754892255008092,125.0,2
27,27,55188.44010118957,825.0,0.3688787407424971,984.0,1.4818532482099454,130.0,2
28,28,57116.28566789409,852.0,0.36724305827008624,1015.0,1.4801027006532512,135.0,2
29,29,59121.9969101169,874.0,0.36548181569600113,1055.0,1.4789594116352638,140.0,2
30,30,60936.29616278071,907.0,0.36614035192481814,1085.0,1.480439273857718,145.0,2
31,31,62738.31007819819,938.0,0.3665678744570153,1112.0,1.4845148923765696,150.0,2
32,32,64703.96115911144,974.0,0.3672572198187998,1144.0,1.4935318843676213,154.0,2
33,33,66787.8777433171,1005.0,0.3682210656188998,1179.0,1.490787468503828,159.0,2
34,34,68769.48026899701,1030.0,0.36960125439098085,1215.0,1.4955945639823411,164.0,2
35,35,70576.77560796557,1068.0,0.3682042363374615,1239.0,1.4941385971760275,169.0,2
36,36,72697.32589474603,1101.0,0.3679013906640654,1276.0,1.4898948761031308,174.0,2
37,37,74888.06855221337,1135.0,0.36936666961848885,1319.0,1.4927650345184627,179.0,2
38,38,77052.51726960242,1168.0,0.36968612453055716,1356.0,1.4957156642094733,184.0,2
39,39,79230.18300043646,1213.0,0.3710275342691303,1395.0,1.4933024424195056,188.0,2
40,40,81226.57940894173,1247.0,0.37108356094100503,1433.0,1.489887649657383,193.0,2
41,41,83658.77005668057,1287.0,0.368002811307622,1475.0,1.4886004029306903,198.0,2
42,42,85597.45778740357,1312.0,0.3695920341183118,1519.0,1.4855015801273046,203.0,2
43,43,87534.86095677625,1341.0,0.36850323430842497,1560.0,1.4914577996201808,208.0,2
44,44,89849.84828059822,1381.0,0.36918031957260566,1601.0,1.4921949731060096,212.0,2
45,45,91980.3861717359,1398.0,0.3699785174730841,1646.0,1.498624074798048,217.0,2
46,46,94169.06745018552,1432.0,0.3703337696779401,1691.0,1.499330149491218,222.0,2
47,47,96423.04964268894,1469.0,0.37141632166486244,1735.0,1.4990001991617157,227.0,2
48,48,98446.90886330476,1500.0,0.3710459552109338,1773.0,1.5035012478955907,232.0,2
49,49,100415.92017693154,1530.0,0.37142394633280007,1815.0,1.5048775540522477,237.0,2
50,50,102341.28381629224,1564.0,0.3713493341547609,1851.0,1.5037421234836688,242.0,2
51,51,104082.69330594146,1593.0,0.37214444453121126,1884.0,1.5039701698826196,246.0,2
0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
1,1,1718.9590138998337,24.0,0.302065706599576,33.0,1.5110787091417168,5.0,3
2,2,3924.3880259973444,54.0,0.3294327105987332,77.0,1.5041097784223272,9.0,3
3,3,6481.32578996327,92.0,0.35099498541857704,135.0,1.4544463217722126,14.0,3
4,4,8949.374487785877,136.0,0.3498370409512128,169.0,1.447781088790366,19.0,3
5,5,11260.366260871648,169.0,0.34431121247837276,208.0,1.438924336378807,23.0,3
6,6,13536.89705670359,204.0,0.35201499577099804,253.0,1.4861376929345196,27.0,3
7,7,15785.212809052435,239.0,0.3597704192765181,299.0,1.5027870125198157,32.0,3
8,8,18092.28922674017,281.0,0.3580004313870465,340.0,1.4943568453887024,37.0,3
9,9,20203.33553816759,313.0,0.35510413795616186,376.0,1.4504207757307799,42.0,3
10,10,22363.7585776712,347.0,0.348512806536023,415.0,1.458999515798986,46.0,3
11,11,24580.653670668456,374.0,0.34777828693632185,463.0,1.4413135664513894,51.0,3
12,12,26926.44725201284,399.0,0.351839162872505,509.0,1.4309676024876645,55.0,3
13,13,28806.866923807916,424.0,0.3565151061113746,550.0,1.4381949711442559,60.0,3
14,14,30555.533366867847,453.0,0.3582490759208948,579.0,1.448759639213602,64.0,3
15,15,32189.832298127956,474.0,0.35939265795089836,615.0,1.4583744146934576,68.0,3
16,16,34165.37680890868,511.0,0.3578098572060683,648.0,1.459729580539794,72.0,3
